Year,Quarter,LGA (Local Government Areas),Dwelling Types,Bedroom Numbers,"First Quartile Weekly Rent for New Bonds
$","Median Weekly Rent for New Bonds
$","Third Quartile Weekly Rent for New Bonds
$","New Bonds Lodged
No.","Total Bonds Held
No.",Quarterly change in Median Weekly Rent,Annual change in Median Weekly Rent,Quarterly change in New Bonds Lodged,Annual change in New Bonds Lodged,,,
2018,First,Total,House,1 Bedroom,160,200,250,160,905,-9.09%,-9.09%,32.23%,25.98%,,,
2018,First,Total,House,Not Specified,281,348,419,214,3519,-3.47%,-0.71%,3.88%,-41.85%,,,
2018,First,Total,House,2 Bedrooms,230,275,320,1089,9625,-1.79%,-1.79%,11.12%,7.61%,,,
2018,First,Total,House,3 Bedrooms,290,340,395,4763,42078,1.49%,3.03%,8.79%,2.63%,,,
2018,First,Total,House,4 or more Bedrooms,360,430,500,2706,20736,2.38%,2.38%,8.81%,5.62%,,,
2018,First,Total,Other,Total,250,320,390,906,14521,3.23%,6.67%,-8.67%,-40.94%,,,
2018,First,Total,Other,Bedsitter,140,165,230,s,213,-2.94%,0.00%,25.00%,-16.67%,,,
2018,First,Total,Other,1 Bedroom,150,190,250,128,1548,-5.00%,0.00%,15.32%,-28.89%,,,
2018,First,Total,Other,Not Specified,283,350,420,151,4499,9.38%,18.64%,-37.34%,-66.74%,,,
2018,First,Total,Other,2 Bedrooms,250,310,360,245,3400,14.81%,10.71%,5.60%,-28.36%,,,
2018,First,Total,Other,3 Bedrooms,290,350,400,265,3704,2.94%,0.00%,-6.69%,-34.24%,,,
2018,First,Total,Other,4 or more Bedrooms,338,400,500,92,1157,0.63%,-2.44%,-11.54%,-26.40%,,,
2018,First,Total,Townhouse,Total,300,360,430,1147,9266,2.86%,2.86%,13.34%,1.68%,,,
2018,First,Total,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Total,Townhouse,1 Bedroom,148,235,323,35,224,-7.84%,-2.08%,52.17%,20.69%,,,
2018,First,Total,Townhouse,Not Specified,281,330,398,s,270,-7.04%,-2.94%,-9.09%,-33.33%,,,
2018,First,Total,Townhouse,2 Bedrooms,280,320,370,395,3669,0.00%,3.23%,-2.23%,-6.62%,,,
2018,First,Total,Townhouse,3 Bedrooms,340,385,450,650,4760,-1.28%,1.32%,22.64%,9.06%,,,
2018,First,Total,Townhouse,4 or more Bedrooms,393,450,518,47,334,12.50%,15.38%,42.42%,-6.00%,,,
2018,First,Total,Flat/Unit,Total,200,250,310,4082,39971,-1.96%,0.00%,8.05%,-3.86%,,,
2018,First,Total,Flat/Unit,Bedsitter,125,150,200,37,281,-18.92%,-28.57%,27.59%,48.00%,,,
2018,First,Total,Flat/Unit,1 Bedroom,165,200,250,844,7629,0.00%,5.26%,7.93%,4.20%,,,
2018,First,Total,Flat/Unit,Not Specified,211,243,300,102,1724,-5.83%,1.04%,6.25%,-44.26%,,,
2018,First,Total,Flat/Unit,2 Bedrooms,210,255,300,2507,25058,-1.92%,2.00%,7.46%,-4.89%,,,
2018,First,Total,Flat/Unit,3 Bedrooms,285,330,400,551,4995,-0.75%,3.13%,8.46%,-2.65%,,,
2018,First,Total,Flat/Unit,4 or more Bedrooms,330,395,500,41,284,1.28%,0.64%,36.67%,57.69%,,,
2018,First,Albury,Total,Total,219,280,350,808,5721,0.00%,2.75%,25.08%,6.60%,,,
2018,First,Albury,Total,Bedsitter,-,-,-,-,s,-,-,-,-,,,
2018,First,Albury,Total,1 Bedroom,159,168,176,52,485,1.52%,4.69%,-5.45%,4.00%,,,
2018,First,Albury,Total,Not Specified,238,325,365,s,278,10.17%,16.07%,90.00%,-62.75%,,,
2018,First,Albury,Total,2 Bedrooms,175,220,250,284,2198,-4.35%,-4.35%,25.66%,3.65%,,,
2018,First,Albury,Total,3 Bedrooms,280,300,350,319,1926,0.00%,0.00%,27.09%,24.12%,,,
2018,First,Albury,Total,4 or more Bedrooms,350,390,420,132,823,0.00%,2.63%,28.16%,5.60%,,,
2018,First,Albury,House,Total,275,320,375,419,2538,0.00%,-1.54%,27.36%,17.70%,,,
2018,First,Albury,House,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Albury,House,1 Bedroom,-,-,-,-,s,-,-,-,-,,,
2018,First,Albury,House,Not Specified,-,-,-,-,92,-,-,-,-,,,
2018,First,Albury,House,2 Bedrooms,220,250,260,49,251,0.00%,0.00%,25.64%,25.64%,,,
2018,First,Albury,House,3 Bedrooms,280,300,350,232,1404,0.00%,0.00%,26.78%,31.82%,,,
2018,First,Albury,House,4 or more Bedrooms,350,395,424,122,767,1.28%,3.95%,22.00%,3.39%,,,
2018,First,Albury,Other,Total,174,220,304,s,468,-25.42%,-24.14%,86.67%,-45.10%,,,
2018,First,Albury,Other,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Albury,Other,1 Bedroom,-,-,-,-,61,-,-,-,-,,,
2018,First,Albury,Other,Not Specified,-,-,-,-,109,-,-,-,-,,,
2018,First,Albury,Other,2 Bedrooms,-,-,-,-,142,-,-,-,-,,,
2018,First,Albury,Other,3 Bedrooms,-,-,-,-,119,-,-,-,-,,,
2018,First,Albury,Other,4 or more Bedrooms,-,-,-,-,36,-,-,-,-,,,
2018,First,Albury,Townhouse,Total,270,300,360,86,499,3.45%,5.26%,34.38%,17.81%,,,
2018,First,Albury,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Albury,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,First,Albury,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,First,Albury,Townhouse,2 Bedrooms,250,265,293,31,260,-0.93%,1.92%,10.71%,-3.12%,,,
2018,First,Albury,Townhouse,3 Bedrooms,294,315,366,48,208,3.28%,-3.08%,54.84%,33.33%,,,
2018,First,Albury,Townhouse,4 or more Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,First,Albury,Flat/Unit,Total,170,200,250,275,2216,-5.88%,0.00%,15.55%,-1.08%,,,
2018,First,Albury,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Albury,Flat/Unit,1 Bedroom,155,168,180,40,399,4.69%,4.69%,-18.37%,0.00%,,,
2018,First,Albury,Flat/Unit,Not Specified,-,-,-,-,69,-,-,-,-,,,
2018,First,Albury,Flat/Unit,2 Bedrooms,170,200,240,194,1545,-9.09%,-4.76%,24.36%,-0.51%,,,
2018,First,Albury,Flat/Unit,3 Bedrooms,245,290,324,32,195,11.54%,0.00%,10.34%,0.00%,,,
2018,First,Albury,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Armidale Regional,Total,Total,235,290,360,434,3285,-1.69%,0.00%,14.21%,-17.49%,,,
2018,First,Armidale Regional,Total,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Armidale Regional,Total,1 Bedroom,135,170,200,51,358,-4.23%,-2.86%,21.43%,0.00%,,,
2018,First,Armidale Regional,Total,Not Specified,-,-,-,-,228,-,-,-,-,,,
2018,First,Armidale Regional,Total,2 Bedrooms,220,250,270,152,1043,4.17%,2.04%,27.73%,-7.88%,,,
2018,First,Armidale Regional,Total,3 Bedrooms,300,340,380,153,1141,3.03%,0.00%,16.79%,-4.97%,,,
2018,First,Armidale Regional,Total,4 or more Bedrooms,358,410,448,75,505,0.00%,2.50%,-2.60%,-11.76%,,,
2018,First,Armidale Regional,House,Total,270,340,395,262,1715,0.00%,0.00%,15.93%,-7.42%,,,
2018,First,Armidale Regional,House,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Armidale Regional,House,1 Bedroom,130,150,205,s,61,7.14%,-25.00%,80.00%,145.45%,,,
2018,First,Armidale Regional,House,Not Specified,-,-,-,-,67,-,-,-,-,,,
2018,First,Armidale Regional,House,2 Bedrooms,220,250,265,33,184,0.00%,-6.54%,13.79%,-13.16%,,,
2018,First,Armidale Regional,House,3 Bedrooms,319,343,380,128,919,2.24%,0.74%,18.52%,-0.78%,,,
2018,First,Armidale Regional,House,4 or more Bedrooms,360,410,445,73,482,-0.61%,2.50%,-1.35%,-10.98%,,,
2018,First,Armidale Regional,Other,Total,-,-,-,-,240,-,-,-,-,,,
2018,First,Armidale Regional,Other,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Armidale Regional,Other,1 Bedroom,-,-,-,-,54,-,-,-,-,,,
2018,First,Armidale Regional,Other,Not Specified,-,-,-,-,91,-,-,-,-,,,
2018,First,Armidale Regional,Other,2 Bedrooms,-,-,-,-,45,-,-,-,-,,,
2018,First,Armidale Regional,Other,3 Bedrooms,-,-,-,-,35,-,-,-,-,,,
2018,First,Armidale Regional,Other,4 or more Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,First,Armidale Regional,Townhouse,Total,-,-,-,-,67,-,-,-,-,,,
2018,First,Armidale Regional,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Armidale Regional,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,First,Armidale Regional,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,First,Armidale Regional,Townhouse,2 Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,First,Armidale Regional,Townhouse,3 Bedrooms,-,-,-,-,35,-,-,-,-,,,
2018,First,Armidale Regional,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Armidale Regional,Flat/Unit,Total,220,250,280,158,1263,5.26%,4.17%,19.70%,-21.39%,,,
2018,First,Armidale Regional,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Armidale Regional,Flat/Unit,1 Bedroom,170,190,200,s,241,5.56%,5.56%,-12.50%,-12.50%,,,
2018,First,Armidale Regional,Flat/Unit,Not Specified,-,-,-,-,68,-,-,-,-,,,
2018,First,Armidale Regional,Flat/Unit,2 Bedrooms,225,250,270,115,787,5.26%,4.17%,33.72%,-4.17%,,,
2018,First,Armidale Regional,Flat/Unit,3 Bedrooms,280,300,350,s,152,1.69%,0.00%,10.53%,-4.55%,,,
2018,First,Armidale Regional,Flat/Unit,4 or more Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,First,Ballina,Total,Total,390,470,560,350,3758,4.44%,5.03%,4.79%,-1.69%,,,
2018,First,Ballina,Total,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Ballina,Total,1 Bedroom,-,-,-,-,184,-,-,-,-,,,
2018,First,Ballina,Total,Not Specified,-,-,-,-,253,-,-,-,-,,,
2018,First,Ballina,Total,2 Bedrooms,320,370,420,114,1191,0.00%,2.78%,15.15%,-7.32%,,,
2018,First,Ballina,Total,3 Bedrooms,450,500,570,142,1574,4.17%,6.38%,-2.74%,-3.40%,,,
2018,First,Ballina,Total,4 or more Bedrooms,550,600,650,76,551,-1.64%,5.26%,20.63%,28.81%,,,
2018,First,Ballina,House,Total,470,550,600,166,1559,3.77%,10.00%,11.41%,11.41%,,,
2018,First,Ballina,House,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Ballina,House,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,First,Ballina,House,Not Specified,-,-,-,-,69,-,-,-,-,,,
2018,First,Ballina,House,2 Bedrooms,380,415,453,s,147,10.67%,-3.49%,-7.69%,-20.00%,,,
2018,First,Ballina,House,3 Bedrooms,450,500,580,85,843,3.09%,7.53%,16.44%,10.39%,,,
2018,First,Ballina,House,4 or more Bedrooms,550,600,650,68,491,-1.64%,5.26%,19.30%,28.30%,,,
2018,First,Ballina,Other,Total,365,410,500,31,466,7.89%,-3.53%,14.81%,-32.61%,,,
2018,First,Ballina,Other,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Ballina,Other,1 Bedroom,-,-,-,-,56,-,-,-,-,,,
2018,First,Ballina,Other,Not Specified,-,-,-,-,117,-,-,-,-,,,
2018,First,Ballina,Other,2 Bedrooms,350,390,400,s,132,81.40%,9.86%,550.00%,-27.78%,,,
2018,First,Ballina,Other,3 Bedrooms,-,-,-,-,140,-,-,-,-,,,
2018,First,Ballina,Other,4 or more Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,First,Ballina,Townhouse,Total,420,488,558,46,484,8.33%,5.41%,-20.69%,-25.81%,,,
2018,First,Ballina,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Ballina,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,First,Ballina,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,First,Ballina,Townhouse,2 Bedrooms,370,400,460,s,151,5.26%,0.00%,-38.10%,-40.91%,,,
2018,First,Ballina,Townhouse,3 Bedrooms,485,540,650,s,293,11.34%,11.92%,-20.59%,-25.00%,,,
2018,First,Ballina,Townhouse,4 or more Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,First,Ballina,Flat/Unit,Total,320,370,420,107,1249,0.00%,5.71%,7.00%,8.08%,,,
2018,First,Ballina,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Ballina,Flat/Unit,1 Bedroom,-,-,-,-,115,-,-,-,-,,,
2018,First,Ballina,Flat/Unit,Not Specified,-,-,-,-,57,-,-,-,-,,,
2018,First,Ballina,Flat/Unit,2 Bedrooms,304,350,400,76,761,0.00%,6.06%,20.63%,11.76%,,,
2018,First,Ballina,Flat/Unit,3 Bedrooms,405,445,465,s,298,-3.26%,-1.11%,-21.43%,4.76%,,,
2018,First,Ballina,Flat/Unit,4 or more Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,First,Balranald,Total,Total,150,200,410,s,109,11.11%,0.00%,37.50%,120.00%,,,
2018,First,Balranald,Total,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Balranald,Total,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,First,Balranald,Total,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,First,Balranald,Total,2 Bedrooms,-,-,-,-,41,-,-,-,-,,,
2018,First,Balranald,Total,3 Bedrooms,-,-,-,-,47,-,-,-,-,,,
2018,First,Balranald,Total,4 or more Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,First,Balranald,House,Total,-,-,-,-,66,-,-,-,-,,,
2018,First,Balranald,House,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Balranald,House,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,First,Balranald,House,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,First,Balranald,House,2 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Balranald,House,3 Bedrooms,-,-,-,-,42,-,-,-,-,,,
2018,First,Balranald,House,4 or more Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,First,Balranald,Other,Total,-,-,-,-,-,-,-,-,-,,,
2018,First,Balranald,Other,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Balranald,Other,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,First,Balranald,Other,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,First,Balranald,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Balranald,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Balranald,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Balranald,Townhouse,Total,-,-,-,-,-,-,-,-,-,,,
2018,First,Balranald,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Balranald,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,First,Balranald,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,First,Balranald,Townhouse,2 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Balranald,Townhouse,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Balranald,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Balranald,Flat/Unit,Total,-,-,-,-,32,-,-,-,-,,,
2018,First,Balranald,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Balranald,Flat/Unit,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,First,Balranald,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,First,Balranald,Flat/Unit,2 Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,First,Balranald,Flat/Unit,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Balranald,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Bathurst,Total,Total,270,320,380,467,3932,3.23%,6.67%,11.72%,-10.54%,,,
2018,First,Bathurst,Total,Bedsitter,-,-,-,-,50,-,-,-,-,,,
2018,First,Bathurst,Total,1 Bedroom,170,190,218,42,293,-5.00%,2.70%,35.48%,16.67%,,,
2018,First,Bathurst,Total,Not Specified,280,340,400,s,602,1.49%,23.64%,-46.87%,-85.09%,,,
2018,First,Bathurst,Total,2 Bedrooms,251,280,300,138,987,5.66%,7.69%,24.32%,17.95%,,,
2018,First,Bathurst,Total,3 Bedrooms,300,338,369,158,1296,3.85%,5.47%,-2.47%,1.94%,,,
2018,First,Bathurst,Total,4 or more Bedrooms,390,420,440,107,704,1.20%,0.00%,33.75%,12.63%,,,
2018,First,Bathurst,House,Total,310,360,410,261,2168,0.00%,5.88%,8.75%,1.16%,,,
2018,First,Bathurst,House,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Bathurst,House,1 Bedroom,-,-,-,-,s,-,-,-,-,,,
2018,First,Bathurst,House,Not Specified,-,-,-,-,322,-,-,-,-,,,
2018,First,Bathurst,House,2 Bedrooms,261,280,290,s,188,0.00%,3.70%,30.00%,13.04%,,,
2018,First,Bathurst,House,3 Bedrooms,303,350,370,123,987,2.94%,9.38%,-0.81%,9.82%,,,
2018,First,Bathurst,House,4 or more Bedrooms,390,420,435,99,648,1.20%,0.00%,32.00%,25.32%,,,
2018,First,Bathurst,Other,Total,240,333,373,36,412,9.02%,23.15%,80.00%,-70.49%,,,
2018,First,Bathurst,Other,Bedsitter,-,-,-,-,s,-,-,-,-,,,
2018,First,Bathurst,Other,1 Bedroom,-,-,-,-,36,-,-,-,-,,,
2018,First,Bathurst,Other,Not Specified,-,-,-,-,162,-,-,-,-,,,
2018,First,Bathurst,Other,2 Bedrooms,-,-,-,-,65,-,-,-,-,,,
2018,First,Bathurst,Other,3 Bedrooms,-,-,-,-,82,-,-,-,-,,,
2018,First,Bathurst,Other,4 or more Bedrooms,-,-,-,-,40,-,-,-,-,,,
2018,First,Bathurst,Townhouse,Total,283,298,308,s,226,2.59%,-0.83%,-18.52%,-15.38%,,,
2018,First,Bathurst,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Bathurst,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,First,Bathurst,Townhouse,Not Specified,-,-,-,-,s,-,-,-,-,,,
2018,First,Bathurst,Townhouse,2 Bedrooms,-,-,-,-,86,-,-,-,-,,,
2018,First,Bathurst,Townhouse,3 Bedrooms,280,295,315,s,113,-4.84%,-1.67%,-42.11%,0.00%,,,
2018,First,Bathurst,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Bathurst,Flat/Unit,Total,210,263,300,148,1126,0.96%,4.37%,12.98%,27.59%,,,
2018,First,Bathurst,Flat/Unit,Bedsitter,-,-,-,-,s,-,-,-,-,,,
2018,First,Bathurst,Flat/Unit,1 Bedroom,170,190,228,36,229,-5.00%,0.00%,33.33%,63.64%,,,
2018,First,Bathurst,Flat/Unit,Not Specified,-,-,-,-,105,-,-,-,-,,,
2018,First,Bathurst,Flat/Unit,2 Bedrooms,243,270,300,94,648,3.85%,3.85%,17.50%,46.88%,,,
2018,First,Bathurst,Flat/Unit,3 Bedrooms,290,300,345,s,114,-4.76%,0.00%,0.00%,27.27%,,,
2018,First,Bathurst,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Bega Valley,Total,Total,270,320,380,188,2219,0.00%,0.00%,-10.90%,-25.98%,,,
2018,First,Bega Valley,Total,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Bega Valley,Total,1 Bedroom,-,-,-,-,134,-,-,-,-,,,
2018,First,Bega Valley,Total,Not Specified,-,-,-,-,101,-,-,-,-,,,
2018,First,Bega Valley,Total,2 Bedrooms,240,280,315,69,782,3.70%,3.70%,-10.39%,-16.87%,,,
2018,First,Bega Valley,Total,3 Bedrooms,320,350,395,75,899,0.00%,1.45%,-6.25%,-30.56%,,,
2018,First,Bega Valley,Total,4 or more Bedrooms,400,440,480,s,299,15.79%,10.00%,-14.71%,-19.44%,,,
2018,First,Bega Valley,House,Total,320,350,420,101,1147,0.00%,0.00%,-7.34%,-26.81%,,,
2018,First,Bega Valley,House,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Bega Valley,House,1 Bedroom,-,-,-,-,s,-,-,-,-,,,
2018,First,Bega Valley,House,Not Specified,-,-,-,-,40,-,-,-,-,,,
2018,First,Bega Valley,House,2 Bedrooms,280,318,343,s,172,5.83%,13.39%,-5.88%,-23.81%,,,
2018,First,Bega Valley,House,3 Bedrooms,320,348,378,54,655,-0.71%,2.21%,-6.90%,-32.50%,,,
2018,First,Bega Valley,House,4 or more Bedrooms,395,443,481,s,265,16.45%,10.62%,3.70%,-15.15%,,,
2018,First,Bega Valley,Other,Total,288,310,375,s,174,-8.82%,-4.62%,-42.11%,10.00%,,,
2018,First,Bega Valley,Other,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Bega Valley,Other,1 Bedroom,-,-,-,-,s,-,-,-,-,,,
2018,First,Bega Valley,Other,Not Specified,-,-,-,-,s,-,-,-,-,,,
2018,First,Bega Valley,Other,2 Bedrooms,-,-,-,-,54,-,-,-,-,,,
2018,First,Bega Valley,Other,3 Bedrooms,-,-,-,-,56,-,-,-,-,,,
2018,First,Bega Valley,Other,4 or more Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,First,Bega Valley,Townhouse,Total,248,320,360,s,150,16.48%,0.00%,-6.25%,-37.50%,,,
2018,First,Bega Valley,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Bega Valley,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,First,Bega Valley,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,First,Bega Valley,Townhouse,2 Bedrooms,-,-,-,-,56,-,-,-,-,,,
2018,First,Bega Valley,Townhouse,3 Bedrooms,-,-,-,-,72,-,-,-,-,,,
2018,First,Bega Valley,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Bega Valley,Flat/Unit,Total,240,270,300,61,748,0.00%,3.85%,-8.96%,-25.61%,,,
2018,First,Bega Valley,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Bega Valley,Flat/Unit,1 Bedroom,-,-,-,-,101,-,-,-,-,,,
2018,First,Bega Valley,Flat/Unit,Not Specified,-,-,-,-,s,-,-,-,-,,,
2018,First,Bega Valley,Flat/Unit,2 Bedrooms,240,270,295,39,500,0.00%,1.89%,-17.02%,-25.00%,,,
2018,First,Bega Valley,Flat/Unit,3 Bedrooms,270,310,450,s,116,3.33%,10.71%,44.44%,0.00%,,,
2018,First,Bega Valley,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Bellingen,Total,Total,300,365,429,66,806,0.69%,4.29%,-13.16%,-20.48%,,,
2018,First,Bellingen,Total,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Bellingen,Total,1 Bedroom,-,-,-,-,47,-,-,-,-,,,
2018,First,Bellingen,Total,Not Specified,-,-,-,-,79,-,-,-,-,,,
2018,First,Bellingen,Total,2 Bedrooms,298,310,330,s,200,3.33%,10.71%,-11.76%,-11.76%,,,
2018,First,Bellingen,Total,3 Bedrooms,315,370,395,31,342,1.37%,1.37%,-6.06%,-22.50%,,,
2018,First,Bellingen,Total,4 or more Bedrooms,420,430,500,s,133,2.38%,-2.27%,-11.76%,-16.67%,,,
2018,First,Bellingen,House,Total,330,385,430,54,548,1.32%,1.32%,0.00%,-11.48%,,,
2018,First,Bellingen,House,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Bellingen,House,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,First,Bellingen,House,Not Specified,-,-,-,-,s,-,-,-,-,,,
2018,First,Bellingen,House,2 Bedrooms,-,-,-,-,92,-,-,-,-,,,
2018,First,Bellingen,House,3 Bedrooms,330,370,395,s,303,1.37%,-1.33%,-3.23%,-16.67%,,,
2018,First,Bellingen,House,4 or more Bedrooms,420,430,500,s,126,-2.27%,-2.27%,-6.25%,-16.67%,,,
2018,First,Bellingen,Other,Total,-,-,-,-,94,-,-,-,-,,,
2018,First,Bellingen,Other,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Bellingen,Other,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,First,Bellingen,Other,Not Specified,-,-,-,-,54,-,-,-,-,,,
2018,First,Bellingen,Other,2 Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,First,Bellingen,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,First,Bellingen,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Bellingen,Townhouse,Total,-,-,-,-,s,-,-,-,-,,,
2018,First,Bellingen,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Bellingen,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,First,Bellingen,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,First,Bellingen,Townhouse,2 Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,First,Bellingen,Townhouse,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Bellingen,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Bellingen,Flat/Unit,Total,-,-,-,-,141,-,-,-,-,,,
2018,First,Bellingen,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Bellingen,Flat/Unit,1 Bedroom,-,-,-,-,35,-,-,-,-,,,
2018,First,Bellingen,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,First,Bellingen,Flat/Unit,2 Bedrooms,-,-,-,-,84,-,-,-,-,,,
2018,First,Bellingen,Flat/Unit,3 Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,First,Bellingen,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,First,Berrigan,Total,Total,170,200,260,65,538,-9.09%,-4.76%,-10.96%,18.18%,,,
2018,First,Berrigan,Total,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,First,Berrigan,Total,1 Bedroom,-,-,-,-,s,-,-,-,-,,,
2018,First,Berrigan,Total,Not Specified,-,-,-,-,s,-,-,-,-,,,
2018,First,Berrigan,Total,2 Bedrooms,136,185,200,35,217,-1.33%,5.71%,59.09%,105.88%,,,
2018,First,Berrigan,Total,3 Bedrooms,220,255,289,s,218,10.87%,12.09%,-27.27%,-14.29%,,,
2018,First,Berrigan,Total,4 or more Bedrooms,-,-,-,-,50,-,-,-,-,,,
2018,First,Berrigan,House,Total,194,233,281,36,308,-7.00%,-4.12%,-28.00%,20.00%,,,
2018,First,Berrigan,House,Bedsitter,-,-,-,-,-,-,-,-,-,,,
