Year,Quarter,LGA (Local Government Areas),Dwelling Types,Bedroom Numbers,"First Quartile Weekly Rent for New Bonds
$","Median Weekly Rent for New Bonds
$","Third Quartile Weekly Rent for New Bonds
$","New Bonds Lodged
No.","Total Bonds Held
No.",Quarterly change in Median Weekly Rent,Annual change in Median Weekly Rent,Quarterly change in New Bonds Lodged,Annual change in New Bonds Lodged,,,
2019,Second,Bega Valley,Other,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2019,Second,Bega Valley,Other,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2019,Second,Bega Valley,Other,Not Specified,-,-,-,-,s,-,-,-,-,,,
2019,Second,Bega Valley,Other,2 Bedrooms,-,-,-,-,46,-,-,-,-,,,
2019,Second,Bega Valley,Other,3 Bedrooms,-,-,-,-,41,-,-,-,-,,,
2019,Second,Bega Valley,Other,4 or more Bedrooms,-,-,-,-,s,-,-,-,-,,,
2019,Second,Bega Valley,Townhouse,Total,320,360,390,s,155,-13.77%,4.35%,-6.25%,-16.67%,,,
2019,Second,Bega Valley,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2019,Second,Bega Valley,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2019,Second,Bega Valley,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-,,,
2019,Second,Bega Valley,Townhouse,2 Bedrooms,-,-,-,-,56,-,-,-,-,,,
2019,Second,Bega Valley,Townhouse,3 Bedrooms,345,360,393,s,86,-14.29%,-8.86%,-15.38%,57.14%,,,
2019,Second,Bega Valley,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2019,Second,Bega Valley,Flat/Unit,Total,251,300,329,78,761,7.14%,11.11%,-8.24%,-8.24%,,,
2019,Second,Bega Valley,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2019,Second,Bega Valley,Flat/Unit,1 Bedroom,180,210,260,s,109,2.44%,5.00%,-35.00%,-7.14%,,,
2019,Second,Bega Valley,Flat/Unit,Not Specified,-,-,-,-,s,-,-,-,-,,,
2019,Second,Bega Valley,Flat/Unit,2 Bedrooms,265,300,320,50,508,3.45%,10.09%,-5.66%,-7.41%,,,
2019,Second,Bega Valley,Flat/Unit,3 Bedrooms,298,330,408,s,115,8.20%,-5.71%,50.00%,-6.25%,,,
2019,Second,Bega Valley,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2019,Second,Bellingen,Total,Total,300,360,443,104,837,2.86%,2.86%,2.97%,26.83%,,,
2019,Second,Bellingen,Total,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2019,Second,Bellingen,Total,1 Bedroom,-,-,-,-,60,-,-,-,-,,,
2019,Second,Bellingen,Total,Not Specified,-,-,-,-,54,-,-,-,-,,,
2019,Second,Bellingen,Total,2 Bedrooms,258,300,350,s,210,-3.23%,-6.25%,-15.15%,33.33%,,,
2019,Second,Bellingen,Total,3 Bedrooms,351,385,440,38,361,0.65%,1.32%,0.00%,22.58%,,,
2019,Second,Bellingen,Total,4 or more Bedrooms,410,463,498,s,147,6.94%,2.78%,85.71%,36.84%,,,
2019,Second,Bellingen,House,Total,350,400,458,78,589,5.26%,3.90%,14.71%,34.48%,,,
2019,Second,Bellingen,House,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2019,Second,Bellingen,House,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2019,Second,Bellingen,House,Not Specified,-,-,-,-,s,-,-,-,-,,,
2019,Second,Bellingen,House,2 Bedrooms,265,305,358,s,99,-14.08%,-8.96%,-12.50%,75.00%,,,
2019,Second,Bellingen,House,3 Bedrooms,351,385,440,38,327,0.00%,1.32%,8.57%,22.58%,,,
2019,Second,Bellingen,House,4 or more Bedrooms,410,463,498,s,141,6.94%,2.78%,85.71%,44.44%,,,
2019,Second,Bellingen,Other,Total,-,-,-,-,69,-,-,-,-,,,
2019,Second,Bellingen,Other,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2019,Second,Bellingen,Other,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2019,Second,Bellingen,Other,Not Specified,-,-,-,-,34,-,-,-,-,,,
2019,Second,Bellingen,Other,2 Bedrooms,-,-,-,-,s,-,-,-,-,,,
2019,Second,Bellingen,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2019,Second,Bellingen,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2019,Second,Bellingen,Townhouse,Total,-,-,-,-,s,-,-,-,-,,,
2019,Second,Bellingen,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2019,Second,Bellingen,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2019,Second,Bellingen,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-,,,
2019,Second,Bellingen,Townhouse,2 Bedrooms,-,-,-,-,s,-,-,-,-,,,
2019,Second,Bellingen,Townhouse,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2019,Second,Bellingen,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2019,Second,Bellingen,Flat/Unit,Total,213,235,276,s,154,-9.62%,-6.00%,-28.00%,-14.29%,,,
2019,Second,Bellingen,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2019,Second,Bellingen,Flat/Unit,1 Bedroom,-,-,-,-,45,-,-,-,-,,,
2019,Second,Bellingen,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-,,,
2019,Second,Bellingen,Flat/Unit,2 Bedrooms,-,-,-,-,84,-,-,-,-,,,
2019,Second,Bellingen,Flat/Unit,3 Bedrooms,-,-,-,-,s,-,-,-,-,,,
2019,Second,Bellingen,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2019,Second,Berrigan,Total,Total,185,240,281,64,536,-6.80%,-4.00%,-11.11%,6.67%,,,
2019,Second,Berrigan,Total,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2019,Second,Berrigan,Total,1 Bedroom,-,-,-,-,s,-,-,-,-,,,
2019,Second,Berrigan,Total,Not Specified,-,-,-,-,s,-,-,-,-,,,
2019,Second,Berrigan,Total,2 Bedrooms,131,165,210,s,214,-13.16%,-10.81%,41.18%,26.32%,,,
2019,Second,Berrigan,Total,3 Bedrooms,226,250,284,s,217,-10.71%,-10.71%,-25.71%,-16.13%,,,
2019,Second,Berrigan,Total,4 or more Bedrooms,260,340,360,s,54,7.94%,7.94%,-21.43%,57.14%,,,
2019,Second,Berrigan,House,Total,220,250,300,41,309,-12.28%,-11.50%,-19.61%,13.89%,,,
2019,Second,Berrigan,House,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2019,Second,Berrigan,House,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2019,Second,Berrigan,House,Not Specified,-,-,-,-,-,-,-,-,-,,,
2019,Second,Berrigan,House,2 Bedrooms,-,-,-,-,49,-,-,-,-,,,
